firstname,lastname,pesel,bloodgroup,bloodfactor,quantityofblood,date,place
Yehudi,Collinwood,20852641570,AB,RH-,480,7/3/2019,288 Cherokee Circle
Trumaine,Barclay,03673360150,AB,RH-,413,25/5/2018,71796 Gulseth Trail
Heloise,Eccleshare,64867114868,0,RH+,321,5/2/2019,51 Talmadge Street
Christos,Minogue,91615267971,AB,RH-,279,26/8/2018,91 Oak Valley Avenue
Chico,Robbert,63782093949,A,RH-,228,15/2/2019,4 Independence Street
Clemens,Willmetts,82867512870,B,RH+,691,1/9/2018,56 Longview Parkway
Virgina,Ksandra,95424912807,AB,RH+,991,25/9/2018,7501 Linden Road
Stacey,Salisbury,47066718289,B,RH-,200,11/5/2018,27415 Luster Pass
Udale,Dayes,23961951561,AB,RH+,383,7/3/2018,9 Karstens Plaza
Janel,MacAlpine,43030865030,AB,RH-,248,3/11/2018,42831 Onsgard Road
Lawton,Raulin,56743455235,B,RH+,935,3/11/2018,76 Grover Road
Farlee,Blowers,53321198641,AB,RH-,384,21/4/2019,37346 Lien Place
Alanson,Hamblett,77674966557,0,RH+,870,4/9/2018,00988 Maple Way
Codie,Colliss,97187131546,AB,RH-,413,26/3/2019,74 Fallview Road
Norry,Brierley,09166682846,AB,RH-,683,27/7/2018,8605 Dahle Pass
Luella,Burberow,70938585268,AB,RH+,249,4/4/2019,4311 Service Place
Bidget,Hollingsby,13232832257,AB,RH+,900,12/12/2018,09 Spenser Avenue
Linnea,Larret,90733197411,A,RH-,956,15/10/2018,374 Sunnyside Junction
Malorie,Finlater,43800936028,AB,RH+,920,10/4/2019,271 Sloan Alley
Sibby,Tomlinson,27258310736,AB,RH-,643,2/10/2018,94 East Crossing
Shamus,Spalls,54565335221,AB,RH-,248,11/10/2018,41 Lyons Crossing
Padraic,Antonellini,27592982326,AB,RH+,985,5/7/2018,9249 Lighthouse Bay Trail
Vallie,Dowty,00713414987,A,RH+,648,13/3/2019,676 Nelson Parkway
Collin,Wavish,32569582735,AB,RH-,354,7/8/2018,45 Lotheville Hill
Pandora,Beggi,10378442386,0,RH+,284,13/1/2018,120 Northview Terrace
Augustine,Gabotti,19586716036,B,RH-,635,19/1/2018,123 West Avenue
Ragnar,Kittles,37843580482,AB,RH-,826,12/2/2018,988 Straubel Court
Harlen,Cosgreave,18985226781,B,RH-,990,20/4/2019,28783 Summerview Pass
Riordan,Kincaid,97307098318,0,RH+,741,19/2/2018,36 Dennis Avenue
Willow,Healks,52593419607,AB,RH-,674,11/5/2018,81860 Fair Oaks Junction
Rozamond,Benedikt,29344976965,AB,RH-,966,23/10/2018,532 Sachs Drive
Walker,Cyson,02229057275,AB,RH-,560,16/4/2018,715 Mendota Junction
Casey,Fawdry,96322792566,B,RH+,854,24/2/2019,75 Oneill Alley
Dedra,Gleave,96303407836,AB,RH+,867,27/2/2018,37839 Barnett Terrace
Rennie,Troy,85052979552,AB,RH+,731,20/8/2018,83 Westerfield Center
Talbot,Gregoire,50684127021,0,RH+,867,8/10/2018,83 Corscot Street
Jesus,Goldstein,27640906719,B,RH-,785,18/3/2019,7822 Homewood Point
Filippo,Lawford,92183408162,B,RH+,629,13/2/2019,607 Stone Corner Street
Vernen,Merrington,69376615262,AB,RH-,824,2/8/2018,52 4th Place
Katy,Glassard,65576965453,AB,RH+,687,8/2/2019,06400 Grim Parkway
Carmela,Edgson,69410403820,AB,RH+,765,15/12/2018,0 Lotheville Road
Angele,Shackleton,12764969207,0,RH+,378,10/3/2019,2 Summit Avenue
Jannelle,Neath,24764022340,A,RH+,421,20/8/2018,3533 Pond Hill
Inga,Maunton,43059049472,AB,RH-,284,6/1/2018,66 Corry Parkway
Kelcy,Yurkov,61449577706,AB,RH-,540,2/3/2019,7384 Di Loreto Alley
Clement,Casiero,10397768549,0,RH+,259,25/6/2018,203 Esch Junction
Fairlie,Killigrew,81468953836,B,RH+,742,6/3/2018,01432 Luster Drive
Elita,Pendry,34941833566,A,RH-,927,15/4/2019,0675 Transport Road
Shanie,Wones,61093103865,AB,RH+,509,29/9/2018,71 Stoughton Hill
Gustavus,Chapple,21149096683,AB,RH+,983,15/7/2018,2291 Orin Lane
Krishna,Klimczak,98115398911,AB,RH+,905,13/1/2018,01 Sloan Pass
Zebadiah,Scullin,49243385445,AB,RH-,928,22/2/2019,28 Memorial Circle
Cobbie,Starzaker,54938247263,B,RH+,401,30/7/2018,7495 Golf View Alley
Mikael,Gromley,50262995691,A,RH+,549,22/11/2018,6 Summerview Center
Michal,Tooby,46487075314,0,RH+,642,30/11/2018,747 Jenifer Trail
Oneida,Seath,73044843463,AB,RH+,924,3/11/2018,7074 Hayes Avenue
Hakim,Bilam,48355688154,AB,RH-,546,11/5/2018,4 Sheridan Place
Skip,MacDiarmond,98867530543,AB,RH+,715,5/10/2018,81 Dovetail Drive
Bernetta,Hammatt,82493304883,AB,RH+,550,6/2/2019,4 Bay Trail
Fionnula,Roscoe,35585436972,AB,RH+,653,23/5/2018,47 Cambridge Avenue
Marybelle,Puttnam,79162856035,AB,RH+,355,15/9/2018,322 Melody Junction
Genvieve,Shone,05685950500,B,RH-,834,22/2/2019,00102 Fallview Circle
Kassey,Bellingham,54974266168,AB,RH-,415,3/4/2019,06546 Kedzie Road
Bibbie,Thornbarrow,84092524545,B,RH-,777,7/10/2018,44 4th Hill
Morgen,Varey,77705559833,A,RH-,724,1/3/2019,45 Bayside Parkway
Conny,Pilger,96320739007,0,RH+,267,12/1/2018,503 Vera Crossing
Carla,Giovanetti,95099733550,AB,RH-,535,25/6/2018,0239 Southridge Park
Auberta,Burndred,70271745080,AB,RH+,922,9/3/2019,1 Amoth Way
Ethelind,Shropshire,01471808549,AB,RH+,943,15/1/2018,6754 Pankratz Trail
Chelsie,Torrese,12187315815,A,RH-,689,25/12/2018,57679 Evergreen Point
Katuscha,Orridge,63123437823,0,RH-,886,28/3/2018,0 Brown Way
Felipe,Paddock,60202462693,B,RH+,474,8/1/2019,9079 Mitchell Place
Herc,Lentsch,89626678805,AB,RH+,886,2/2/2019,24 Cambridge Drive
Virgina,Borsnall,99411469695,AB,RH+,738,25/7/2018,792 Esker Crossing
Roderich,Batterbee,27487713373,AB,RH+,700,1/2/2018,7308 Corry Alley
Minda,Downs,05292177019,AB,RH-,238,28/3/2018,226 Gale Pass
Niki,Stealey,32066343430,AB,RH+,516,10/4/2018,1860 Morningstar Terrace
Legra,Appleton,89369469948,AB,RH-,924,25/3/2019,999 Grim Center
Morris,Laudham,72260796643,0,RH-,376,19/5/2018,605 Montana Circle
Kathye,Allsupp,27039449926,0,RH+,511,21/10/2018,507 Becker Hill
Gabriela,Vallens,47875035647,A,RH-,313,6/11/2018,97 Nelson Lane
Prentice,Cokly,44272519861,AB,RH-,285,12/1/2018,68 Lerdahl Place
Jan,Ollin,61701246372,B,RH-,550,17/11/2018,29 Badeau Point
Tulley,Cicci,20728917954,AB,RH-,393,19/7/2018,3827 Mandrake Circle
Goldia,Philimore,23772346397,B,RH-,861,22/9/2018,2911 Hooker Park
Bellina,Carne,21995557273,AB,RH+,429,13/8/2018,52030 Warbler Lane
Dion,Rolph,20735528811,AB,RH-,790,6/4/2018,35 Randy Court
Talyah,Simonassi,13686299574,AB,RH+,816,14/8/2018,97749 Lyons Lane
Janenna,Haysey,44293597373,B,RH-,293,7/8/2018,993 Anniversary Pass
Wallis,Cleugh,23093877835,AB,RH+,263,15/3/2019,37 Service Plaza
Eldredge,Le Borgne,64371556875,0,RH-,812,31/8/2018,24 Golf View Court
Lowe,Chalder,69944531699,AB,RH-,307,25/10/2018,6 Hazelcrest Hill
Gabie,Thirst,36814818183,AB,RH-,539,25/3/2019,0 Truax Junction
Eveleen,Cancutt,24571558470,A,RH+,1000,19/10/2018,49 Lakewood Street
Filippo,Lilliman,40365823757,AB,RH-,956,11/12/2018,00 Tennyson Drive
Janie,Leyband,13226958324,AB,RH+,597,17/3/2019,080 Melvin Hill
Mariann,Rylatt,87758653887,0,RH-,377,20/3/2019,9279 Logan Court
Felipe,Nilges,14535692794,AB,RH-,806,14/8/2018,367 Fordem Place
Gayla,Lamyman,44803265430,AB,RH+,806,10/2/2018,92 Blackbird Junction
Stephen,Barensky,96459005870,B,RH-,805,20/12/2018,539 Oak Lane
Hatty,Roseaman,89815369210,B,RH+,837,4/4/2019,63433 Eastlawn Hill
Abrahan,Jodlowski,10691410547,AB,RH-,231,27/11/2018,557 Gina Point
Bronnie,Colgan,32433380774,AB,RH-,270,16/1/2019,6243 Boyd Hill
Olive,Tierny,87901871170,A,RH-,404,25/10/2018,81 Oakridge Center
Edyth,Blaycock,52656221678,AB,RH+,754,29/10/2018,9782 Waubesa Junction
Cami,Sheilds,35236083520,A,RH+,711,4/10/2018,66 Amoth Park
Ase,O'Sesnane,04306858169,AB,RH-,997,24/4/2019,50019 Tennessee Road
Dorry,Coveney,34049661517,AB,RH-,787,15/6/2018,8110 Ramsey Way
Fidela,Dislee,18166277998,AB,RH-,233,19/2/2018,7898 Eagle Crest Lane
Shelley,Steabler,31658843028,0,RH-,856,18/2/2018,1 Magdeline Parkway
Mirabelle,McTrustam,63717481083,B,RH-,381,31/12/2018,319 Spenser Road
Allene,Nozzolinii,03431613399,A,RH+,988,11/11/2018,67837 La Follette Plaza
Corney,Niesing,76219762140,AB,RH-,642,20/7/2018,43888 Mandrake Hill
Alaric,Twamley,65553661922,AB,RH-,992,30/4/2018,5814 Dahle Terrace
Laurice,Chazelas,85175829701,B,RH-,961,11/3/2018,127 Northfield Crossing
Fernande,Aikman,95273217521,B,RH-,586,5/1/2019,14668 Sommers Park
Zitella,Busse,50774986144,B,RH-,437,2/2/2018,30377 Dorton Court
Dede,Fothergill,41923846837,AB,RH-,895,25/9/2018,583 Bobwhite Parkway
Tripp,Rowlinson,44842499235,AB,RH-,682,13/1/2019,67800 Lawn Road
Jarad,Hyndson,06368575231,AB,RH+,930,27/3/2018,062 Mariners Cove Alley
Aile,Davana,15942958571,A,RH+,509,22/10/2018,46 Londonderry Hill
Chloe,Minnis,45988636970,A,RH-,927,26/1/2019,16 Farwell Lane
Mitzi,Drinkwater,27255800430,AB,RH+,884,27/5/2018,7 Mccormick Plaza
Frieda,Wildin,63207215910,AB,RH-,716,26/11/2018,799 Westerfield Junction
Dukie,Copland,11479988781,AB,RH-,960,19/11/2018,5962 Banding Lane
Marcela,Peel,36578397323,AB,RH-,238,10/2/2018,716 Sommers Road
Shanna,Beseke,01898592990,AB,RH-,297,14/4/2019,7524 Sage Parkway
Kathi,Wraighte,99875489324,B,RH-,998,3/9/2018,31 Packers Avenue
Brigid,Gribbon,02022099144,AB,RH+,558,7/6/2018,10117 Nobel Court
Dierdre,Cockroft,31407472098,B,RH-,273,8/2/2019,45395 Lighthouse Bay Terrace
Sibley,De Gregario,27816580881,AB,RH+,368,13/8/2018,97448 Sachtjen Crossing
Mohammed,Aspel,35484396848,B,RH-,818,11/2/2018,7769 Twin Pines Hill
Minnaminnie,Skelbeck,50123766821,B,RH-,224,4/3/2019,64 Crowley Junction
Trumann,Skinner,51456045217,AB,RH+,294,9/3/2019,9704 Coleman Park
Giordano,Runge,56466686005,B,RH+,771,5/9/2018,41 International Way
Anderea,Winsome,16085306130,0,RH+,792,20/5/2018,940 Arapahoe Plaza
Christin,Grossman,83278088837,AB,RH+,217,30/1/2018,1 Cherokee Parkway
Sandra,O'Donnell,97716956594,AB,RH-,264,18/5/2018,39 Summit Pass
Darryl,Dines,12957263077,B,RH-,418,5/8/2018,013 Kedzie Junction
Baldwin,Elsay,36926308374,B,RH-,874,18/6/2018,55834 Judy Center
Ivory,Corr,83088560280,0,RH-,614,24/7/2018,4392 Fallview Center
Ted,Bindley,53912172363,AB,RH-,974,20/4/2018,997 Mariners Cove Pass
Corella,Moreman,23007196187,B,RH-,688,1/4/2019,504 Buhler Parkway
Delcina,Jaffray,85965312029,A,RH-,246,20/5/2018,8 Green Ridge Alley
Alf,Beasley,73221636259,0,RH+,237,13/2/2019,118 Shasta Lane
Aile,O'Dennehy,53480832457,0,RH-,532,28/9/2018,9498 Canary Street
Wait,Rathe,29282859807,AB,RH-,732,22/4/2019,24 Melrose Alley
Raimund,Edwicke,14808116841,B,RH+,208,18/8/2018,1 Di Loreto Center
Lian,Belsher,55463213163,A,RH+,634,24/3/2019,7 Vernon Terrace
Tommy,Haggus,25972209210,A,RH+,403,13/3/2019,5038 Crescent Oaks Park
Barnaby,Eiler,90632974175,AB,RH+,434,12/5/2018,71131 Oriole Crossing
Yetta,Blevin,29309326827,AB,RH-,428,21/10/2018,5 Walton Trail
Joseph,O'Doherty,33031377982,A,RH-,292,24/2/2019,8 Luster Park
Nonna,Tohill,60038514449,AB,RH-,275,5/3/2019,5663 Old Shore Point
Rowan,Neilus,94585906779,AB,RH-,683,15/7/2018,7 Basil Road
Fanya,Spencley,34519436512,AB,RH+,786,13/4/2018,69794 Rowland Trail
Skipper,Tewkesberrie,09199432527,AB,RH+,996,24/6/2018,611 Granby Center
Eric,Goscar,86166101296,B,RH+,457,11/2/2019,9 Memorial Trail
Evangeline,Yerrington,44222145150,0,RH-,612,21/2/2019,89564 Bartillon Drive
Adiana,Emes,15720501069,AB,RH+,948,2/6/2018,8 Thackeray Terrace
Halimeda,Hannah,39341144590,A,RH+,851,1/12/2018,0014 Independence Pass
Elspeth,Gorries,68369626978,0,RH+,857,27/6/2018,2548 Sycamore Lane
Neda,Craighall,86670069734,AB,RH+,952,27/4/2018,78516 Golf View Park
Cahra,Ellick,69797310374,AB,RH-,787,28/10/2018,341 Donald Court
Robyn,Stephens,60446518510,B,RH-,719,10/3/2018,1 Orin Trail
Wade,Speechly,99046862029,AB,RH+,827,20/6/2018,0464 Corscot Avenue
Megan,Spinello,11798019064,AB,RH-,301,15/8/2018,5 Oak Valley Avenue
Tallie,Golding,02034628690,0,RH-,710,8/2/2018,4 Warrior Hill
Cy,Grastye,96478098909,B,RH+,322,15/8/2018,4965 Butterfield Pass
Wes,Burns,00761081138,AB,RH+,926,28/10/2018,4 Glacier Hill Hill
Laurence,Roberds,45403397427,AB,RH+,791,18/3/2018,0145 Melrose Drive
Adrian,Sharplin,62372659688,0,RH+,752,28/12/2018,5631 Hovde Circle
Roseanne,Munnings,79129282440,AB,RH+,714,26/6/2018,061 Packers Park
Gabbie,Acock,87772089821,AB,RH-,982,20/11/2018,8 Coolidge Lane
Shae,McKeachie,50202076239,AB,RH-,928,1/12/2018,8365 Fisk Pass
Leilah,Stickens,76991674488,AB,RH+,446,12/2/2019,12 Kipling Parkway
Emmy,Kingdon,24974834192,A,RH-,492,26/4/2018,45710 Pond Avenue
Daryn,Strivens,63102953971,A,RH-,791,3/7/2018,28 Merrick Road
Melesa,Brammall,87179385562,AB,RH-,379,12/8/2018,43181 Orin Park
Etheline,Caws,11677552173,B,RH-,652,13/1/2018,05025 Thierer Alley
Isahella,Berardt,51315427356,AB,RH+,334,19/4/2019,62 Bay Avenue
Dur,Fancutt,68479499566,B,RH-,611,15/8/2018,22157 Buena Vista Center
Eleanora,Pithcock,68243129884,AB,RH+,429,2/1/2019,5 Eliot Point
Stanfield,Stag,71009699468,AB,RH+,411,5/7/2018,600 Helena Terrace
Donelle,Husby,28798130851,B,RH+,513,24/9/2018,6 Caliangt Way
Shir,Ginnane,90184184128,AB,RH-,873,30/3/2019,7 Carberry Place
Ely,Forty,34541288616,AB,RH-,239,7/8/2018,88 Dawn Terrace
Birgitta,Joysey,42038876245,AB,RH-,328,7/1/2018,965 Norway Maple Avenue
Melesa,Mirrlees,13232808334,AB,RH-,950,9/12/2018,44 Hermina Junction
Ermina,Jacobsohn,90283439846,AB,RH-,885,16/10/2018,6823 Atwood Crossing
Geralda,Topling,58823064709,B,RH+,642,25/12/2018,6 Kennedy Street
Carlene,Tingcomb,05060224857,AB,RH+,522,15/9/2018,81759 Hovde Way
Natalie,Buscombe,50448712856,0,RH-,287,25/9/2018,28 Vahlen Avenue
Orin,Gooch,96378465588,AB,RH+,350,23/6/2018,596 Logan Center
Ondrea,Gouldsmith,92137699062,AB,RH-,286,5/5/2018,680 1st Junction
Harrietta,Mufford,26514612531,AB,RH+,303,7/9/2018,80 Dawn Circle
Flora,Elliman,79615785721,0,RH+,870,19/12/2018,4 Bultman Road
Norry,Bedborough,09160308274,B,RH-,380,1/3/2019,25328 Little Fleur Alley
Dev,Toe,62676001800,A,RH+,252,29/4/2018,3 Troy Hill
Ellynn,Waplington,60986401691,A,RH-,665,17/9/2018,21823 Helena Park
Bevon,Todhunter,65314360993,B,RH+,730,6/4/2019,610 Cordelia Road
Ring,Wentworth,64680211380,B,RH+,221,19/9/2018,0685 Karstens Way
Paloma,Mouland,37619541500,B,RH-,477,12/7/2018,16385 Merchant Drive
Sigismund,Joontjes,18085104550,AB,RH-,881,20/8/2018,713 Tennessee Hill
Moselle,Blower,33207731628,AB,RH+,505,2/4/2019,764 Cardinal Place
Portia,Hodgin,22543749488,AB,RH+,297,22/1/2018,20 Swallow Drive
Lloyd,Vaughten,68666997399,AB,RH+,511,4/1/2019,80 Sauthoff Point
Tamara,Crauford,14639026809,AB,RH+,543,31/3/2019,44688 Pennsylvania Plaza
Rochester,Bamb,13849366852,0,RH+,848,13/2/2018,719 Welch Trail
Katti,Whieldon,95147175254,AB,RH-,245,6/1/2019,490 Ridgeway Crossing
Dalli,Scandred,95524255116,AB,RH-,510,8/3/2018,17 1st Junction
Anya,Outlaw,66684561608,AB,RH+,380,24/9/2018,83 Almo Road
Fern,Saura,30765427722,AB,RH+,589,12/1/2019,26555 Center Plaza
Gusella,Buchett,53653406537,AB,RH-,479,10/4/2019,787 Sutteridge Terrace
Corene,Debow,40498784947,AB,RH+,792,28/2/2019,164 Messerschmidt Hill
Egbert,Cowser,33457773035,0,RH+,943,26/10/2018,630 Rockefeller Circle
Elihu,Morison,28338452881,AB,RH+,653,12/8/2018,8122 Rieder Way
Chloe,Hanmore,11862723035,A,RH-,782,26/12/2018,4 Reinke Crossing
Towney,Kibel,71248884259,AB,RH+,900,16/6/2018,26261 Straubel Place
Orsola,MacAlister,67767019287,A,RH+,802,1/4/2019,17267 Park Meadow Court
Avigdor,Milne,36435456292,AB,RH+,752,14/1/2019,0 Sachtjen Terrace
Adan,Cristofor,08957114426,AB,RH-,295,30/5/2018,47605 Arrowood Hill
Loralie,Hackelton,45563381486,AB,RH+,548,22/12/2018,8 Northwestern Circle
Philly,Frizell,14195927612,0,RH-,293,8/3/2019,0 Arizona Lane
Deedee,Seabrook,18539675774,AB,RH-,294,18/11/2018,4 Harper Trail
Terrye,Onthank,03564763450,0,RH-,897,11/1/2019,52 Jenna Circle
Hall,Pruvost,72725507703,B,RH+,226,12/11/2018,07878 Melby Road
Pepi,Lohde,32704882862,A,RH-,790,11/11/2018,2591 Vidon Pass
Issiah,McCaig,34844258269,A,RH-,907,9/9/2018,08564 Emmet Crossing
Kristin,Keeting,84694585429,AB,RH+,325,1/5/2018,936 Merry Park
Axel,Longridge,86758105346,B,RH+,527,22/7/2018,7 Fuller Hill
Salvatore,McGillecole,37996507295,AB,RH-,308,30/3/2018,34 Randy Crossing
Branden,Braven,61840954274,B,RH+,212,14/9/2018,4 Express Crossing
Cariotta,Ellul,43954664691,B,RH+,680,20/4/2018,25660 Texas Park
Gunner,Dick,90566914716,AB,RH-,832,2/4/2019,7 Ilene Lane
Brandy,Szepe,40398132654,AB,RH+,569,22/3/2019,5 Eagan Trail
Creigh,Bayless,82540836150,B,RH-,403,6/11/2018,441 Beilfuss Parkway
Kristan,Lashmar,57164040926,AB,RH+,532,14/6/2018,7574 Killdeer Crossing
Roxine,Inderwick,06691172037,B,RH-,365,2/4/2019,82 Carpenter Circle
